"id","admission_threshold","cache_size","cms_delta","cms_epsilon","default_latency","latency_utility","model","policy","protected_fraction","request_count","size_utility","tau","tiny_window_size","window_size","expected_count","victim_sample_proportion"
"1","","10000000","","","","",docker-registry-processed,two-segment,"0.1","1000000","","","","","1","0.1"
"2","","10000000","","","","",docker-registry-processed,two-segment,"0.2","1000000","","","","","1","0.1"
"3","","10000000","","","","",docker-registry-processed,two-segment,"0.3","1000000","","","","","1","0.1"
"4","","10000000","","","","",docker-registry-processed,two-segment,"0.4","1000000","","","","","1","0.1"
"5","","10000000","","","","",docker-registry-processed,two-segment,"0.5","1000000","","","","","1","0.1"
"6","","10000000","","","","",docker-registry-processed,two-segment,"0.6","1000000","","","","","1","0.1"
"7","","10000000","","","","",docker-registry-processed,two-segment,"0.7","1000000","","","","","1","0.1"
"8","","10000000","","","","",docker-registry-processed,two-segment,"0.8","1000000","","","","","1","0.1"
"9","","10000000","","","","",docker-registry-processed,two-segment,"0.9","1000000","","","","","1","0.1"
"10","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","100","","1","0.1"
"11","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","1000","","1","0.1"
"12","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","10000","","1","0.1"
"13","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","100000","","1","0.1"
"14","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","1000000","","1","0.1"
"15","","10000000","","","","",docker-registry-processed,lru,"","1000000","","","","","1","0.1"
"16","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","100","1","0.1"
"17","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","1000","1","0.1"
"18","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","10000","1","0.1"
"19","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","100000","1","0.1"
"20","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","1000000","1","0.1"
"21","","10000000","","","1",freq_over_size_times_latency,docker-registry-processed,lfu-latency-byte,"","1000000","","","","","1","0.1"
"22","","10000000","","","1",freq_times_latency_over_size,docker-registry-processed,lfu-latency-byte,"","1000000","","","","","1","0.1"
"23","2","10000000","1.00E-07","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"24","2","10000000","1.00E-06","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"25","2","10000000","1.00E-05","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"26","2","10000000","1.00E-04","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"27","2","10000000","1.00E-03","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"28","2","10000000","1.00E-02","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"29","2","10000000","1.00E-07","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"30","2","10000000","1.00E-06","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"31","2","10000000","1.00E-05","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"32","2","10000000","1.00E-04","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"33","2","10000000","1.00E-03","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"34","2","10000000","1.00E-02","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"35","2","10000000","1.00E-07","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"36","2","10000000","1.00E-06","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"37","2","10000000","1.00E-05","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"38","2","10000000","1.00E-04","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"39","2","10000000","1.00E-03","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"40","2","10000000","1.00E-02","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"41","2","10000000","1.00E-07","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"42","2","10000000","1.00E-06","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"43","2","10000000","1.00E-05","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"44","2","10000000","1.00E-04","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"45","2","10000000","1.00E-03","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"46","2","10000000","1.00E-02","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"47","3","10000000","1.00E-07","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"48","3","10000000","1.00E-06","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"49","3","10000000","1.00E-05","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"50","3","10000000","1.00E-04","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"51","3","10000000","1.00E-03","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"52","3","10000000","1.00E-02","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"53","3","10000000","1.00E-07","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"54","3","10000000","1.00E-06","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"55","3","10000000","1.00E-05","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"56","3","10000000","1.00E-04","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"57","3","10000000","1.00E-03","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"58","3","10000000","1.00E-02","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"59","3","10000000","1.00E-07","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"60","3","10000000","1.00E-06","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"61","3","10000000","1.00E-05","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"62","3","10000000","1.00E-04","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"63","3","10000000","1.00E-03","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"64","3","10000000","1.00E-02","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"65","3","10000000","1.00E-07","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"66","3","10000000","1.00E-06","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"67","3","10000000","1.00E-05","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"68","3","10000000","1.00E-04","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"69","3","10000000","1.00E-03","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"70","3","10000000","1.00E-02","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"71","4","10000000","1.00E-06","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"72","4","10000000","1.00E-05","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"73","4","10000000","1.00E-04","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"74","4","10000000","1.00E-03","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"75","4","10000000","1.00E-02","0.001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"76","4","10000000","1.00E-07","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"77","4","10000000","1.00E-06","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"78","4","10000000","1.00E-05","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"79","4","10000000","1.00E-04","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"80","4","10000000","1.00E-03","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"81","4","10000000","1.00E-02","0.01","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"82","4","10000000","1.00E-07","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"83","4","10000000","1.00E-06","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"84","4","10000000","1.00E-05","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"85","4","10000000","1.00E-04","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"86","4","10000000","1.00E-03","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"87","4","10000000","1.00E-02","0.1","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"88","4","10000000","1.00E-07","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"89","4","10000000","1.00E-06","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"90","4","10000000","1.00E-05","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"91","4","10000000","1.00E-04","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"92","4","10000000","1.00E-03","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"93","4","10000000","1.00E-02","0.0001","","",docker-registry-processed,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"94","","10000000","","","","",docker-registry-processed,lfu-byte,"","1000000",freq_over_size,"","","","1","0.1"
"95","","10000000","","","","",docker-registry-processed,lfu-byte,"","1000000",freq_times_size,"","","","1","0.1"
"96","","10000000","","","","",docker-registry-processed,lfu-aging,"","1000000","","100","","","1","0.1"
"97","","10000000","","","","",docker-registry-processed,lfu-aging,"","1000000","","1000","","","1","0.1"
"98","","10000000","","","","",docker-registry-processed,lfu-aging,"","1000000","","10000","","","1","0.1"
"99","","10000000","","","","",docker-registry-processed,lfu-aging,"","1000000","","100000","","","1","0.1"
"100","","10000000","","","","",docker-registry-processed,lfu-aging,"","1000000","","1000000","","","1","0.1"
"101","","10000000","","","","",docker-registry-processed,lfu,"","1000000","","","","","1","0.1"
"102","","10000000","","","","",wiki-t-10,two-segment,"0.1","1000000","","","","","1","0.1"
"103","","10000000","","","","",wiki-t-10,two-segment,"0.2","1000000","","","","","1","0.1"
"104","","10000000","","","","",wiki-t-10,two-segment,"0.3","1000000","","","","","1","0.1"
"105","","10000000","","","","",wiki-t-10,two-segment,"0.4","1000000","","","","","1","0.1"
"106","","10000000","","","","",wiki-t-10,two-segment,"0.5","1000000","","","","","1","0.1"
"107","","10000000","","","","",wiki-t-10,two-segment,"0.6","1000000","","","","","1","0.1"
"108","","10000000","","","","",wiki-t-10,two-segment,"0.7","1000000","","","","","1","0.1"
"109","","10000000","","","","",wiki-t-10,two-segment,"0.8","1000000","","","","","1","0.1"
"110","","10000000","","","","",wiki-t-10,two-segment,"0.9","1000000","","","","","1","0.1"
"111","","10000000","","","","",wiki-t-10,tiny-lfu-byte,"","1000000","","","100","","1","0.1"
"112","","10000000","","","","",wiki-t-10,tiny-lfu-byte,"","1000000","","","1000","","1","0.1"
"113","","10000000","","","","",wiki-t-10,tiny-lfu-byte,"","1000000","","","10000","","1","0.1"
"114","","10000000","","","","",wiki-t-10,tiny-lfu-byte,"","1000000","","","100000","","1","0.1"
"115","","10000000","","","","",wiki-t-10,tiny-lfu-byte,"","1000000","","","1000000","","1","0.1"
"116","","10000000","","","","",wiki-t-10,lru,"","1000000","","","","","1","0.1"
"117","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","100","1","0.1"
"118","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","1000","1","0.1"
"119","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","10000","1","0.1"
"120","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","100000","1","0.1"
"121","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","1000000","1","0.1"
"122","","10000000","","","1",freq_over_size_times_latency,wiki-t-10,lfu-latency-byte,"","1000000","","","","","1","0.1"
"123","","10000000","","","1",freq_times_latency_over_size,wiki-t-10,lfu-latency-byte,"","1000000","","","","","1","0.1"
"124","2","10000000","1.00E-07","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"125","2","10000000","1.00E-06","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"126","2","10000000","1.00E-05","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"127","2","10000000","1.00E-04","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"128","2","10000000","1.00E-03","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"129","2","10000000","1.00E-02","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"130","2","10000000","1.00E-07","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"131","2","10000000","1.00E-06","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"132","2","10000000","1.00E-05","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"133","2","10000000","1.00E-04","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"134","2","10000000","1.00E-03","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"135","2","10000000","1.00E-02","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"136","2","10000000","1.00E-07","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"137","2","10000000","1.00E-06","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"138","2","10000000","1.00E-05","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"139","2","10000000","1.00E-04","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"140","2","10000000","1.00E-03","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"141","2","10000000","1.00E-02","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"142","2","10000000","1.00E-07","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"143","2","10000000","1.00E-06","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"144","2","10000000","1.00E-05","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"145","2","10000000","1.00E-04","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"146","2","10000000","1.00E-03","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"147","2","10000000","1.00E-02","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"148","3","10000000","1.00E-07","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"149","3","10000000","1.00E-06","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"150","3","10000000","1.00E-05","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"151","3","10000000","1.00E-04","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"152","3","10000000","1.00E-03","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"153","3","10000000","1.00E-02","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"154","3","10000000","1.00E-07","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"155","3","10000000","1.00E-06","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"156","3","10000000","1.00E-05","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"157","3","10000000","1.00E-04","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"158","3","10000000","1.00E-03","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"159","3","10000000","1.00E-02","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"160","3","10000000","1.00E-07","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"161","3","10000000","1.00E-06","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"162","3","10000000","1.00E-05","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"163","3","10000000","1.00E-04","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"164","3","10000000","1.00E-03","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"165","3","10000000","1.00E-02","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"166","3","10000000","1.00E-07","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"167","3","10000000","1.00E-06","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"168","3","10000000","1.00E-05","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"169","3","10000000","1.00E-04","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"170","3","10000000","1.00E-03","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"171","3","10000000","1.00E-02","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"172","4","10000000","1.00E-06","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"173","4","10000000","1.00E-05","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"174","4","10000000","1.00E-04","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"175","4","10000000","1.00E-03","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"176","4","10000000","1.00E-02","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"177","4","10000000","1.00E-07","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"178","4","10000000","1.00E-06","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"179","4","10000000","1.00E-05","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"180","4","10000000","1.00E-04","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"181","4","10000000","1.00E-03","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"182","4","10000000","1.00E-02","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"183","4","10000000","1.00E-07","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"184","4","10000000","1.00E-06","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"185","4","10000000","1.00E-05","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"186","4","10000000","1.00E-04","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"187","4","10000000","1.00E-03","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"188","4","10000000","1.00E-02","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"189","4","10000000","1.00E-07","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"190","4","10000000","1.00E-06","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"191","4","10000000","1.00E-05","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"192","4","10000000","1.00E-04","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"193","4","10000000","1.00E-03","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"194","4","10000000","1.00E-02","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"195","","10000000","","","","",wiki-t-10,lfu-byte,"","1000000",freq_over_size,"","","","1","0.1"
"196","","10000000","","","","",wiki-t-10,lfu-byte,"","1000000",freq_times_size,"","","","1","0.1"
"197","","10000000","","","","",wiki-t-10,lfu-aging,"","1000000","","100","","","1","0.1"
"198","","10000000","","","","",wiki-t-10,lfu-aging,"","1000000","","1000","","","1","0.1"
"199","","10000000","","","","",wiki-t-10,lfu-aging,"","1000000","","10000","","","1","0.1"
